STATION,WCODE,TMAX,TMIN,ELEVATION
ADILABAD,FXMK,19.255,78.972,427
HYDERABAD,TCXH,17.389,78.47,572
KARIMNAGAR,KYUM,18.549,79.241,257
KHAMMAM,WTLD,17.596,80.687,159
MAHBUBNAGAR,ISVK,16.498,78.146,405
MEDAK,LGJR,17.887,78.216,503
NALGONDA,WWNO,17.067,79.289,236
NIZAMABAD,ZTVB,18.525,78.144,447
RANGAREDDY,BLAZ,17.287,78.177,574
WARANGAL,YSGK,17.954,79.799,250
