STATION,WCODE,TMAX,TMIN,ELEVATION
ANANTAPUR,HYFZ,14.48,77.577,437
CHITTOOR,IPIU,13.467,79.014,674
CUDDAPAH,QVVX,14.459,78.784,159
EAST_GODAVARI,ZQRL,17.188,82.012,123
GUNTUR,EQAD,16.298,80.092,76
KRISHNA,BFOT,16.562,80.801,53
KURNOOL,RYJN,15.533,78.006,385
NELLORE,UMFO,14.426,79.734,42
PRAKASAM,TWKL,15.621,79.516,123
SRIKAKULAM,IYFW,18.578,83.988,69
VISHAKHAPATNAM,OSZC,17.89,82.693,679
VIZIANAGARAM,RARH,18.467,83.379,236
WEST_GODAVARI,LXHP,16.894,81.402,34
